column,file_name
isced1997_c9,sharew8_rel9-0-0_gv_isced.dta
isced1997_c10,sharew8_rel9-0-0_gv_isced.dta
isced1997_c11,sharew8_rel9-0-0_gv_isced.dta
isced1997_c12,sharew8_rel9-0-0_gv_isced.dta
isced1997_c13,sharew8_rel9-0-0_gv_isced.dta
isced1997_c14,sharew8_rel9-0-0_gv_isced.dta
isced1997_c15,sharew8_rel9-0-0_gv_isced.dta
isced1997_c16,sharew8_rel9-0-0_gv_isced.dta
isced1997_c17,sharew8_rel9-0-0_gv_isced.dta
isced1997_c18,sharew8_rel9-0-0_gv_isced.dta
isced1997_c19,sharew8_rel9-0-0_gv_isced.dta
isced1997_c20,sharew8_rel9-0-0_gv_isced.dta
isced2011_r,sharew8_rel9-0-0_gv_isced.dta
isced2011_sp,sharew8_rel9-0-0_gv_isced.dta
isced2011_m,sharew8_rel9-0-0_gv_isced.dta
isced2011_f,sharew8_rel9-0-0_gv_isced.dta
isced2011_c1,sharew8_rel9-0-0_gv_isced.dta
isced2011_c2,sharew8_rel9-0-0_gv_isced.dta
isced2011_c3,sharew8_rel9-0-0_gv_isced.dta
isced2011_c4,sharew8_rel9-0-0_gv_isced.dta
isced2011_c5,sharew8_rel9-0-0_gv_isced.dta
isced2011_c6,sharew8_rel9-0-0_gv_isced.dta
isced2011_c7,sharew8_rel9-0-0_gv_isced.dta
isced2011_c8,sharew8_rel9-0-0_gv_isced.dta
isced2011_c9,sharew8_rel9-0-0_gv_isced.dta
isced2011_c10,sharew8_rel9-0-0_gv_isced.dta
isced2011_c11,sharew8_rel9-0-0_gv_isced.dta
isced2011_c12,sharew8_rel9-0-0_gv_isced.dta
isced2011_c13,sharew8_rel9-0-0_gv_isced.dta
isced2011_c14,sharew8_rel9-0-0_gv_isced.dta
isced2011_c15,sharew8_rel9-0-0_gv_isced.dta
isced2011_c16,sharew8_rel9-0-0_gv_isced.dta
isced2011_c17,sharew8_rel9-0-0_gv_isced.dta
isced2011_c18,sharew8_rel9-0-0_gv_isced.dta
isced2011_c19,sharew8_rel9-0-0_gv_isced.dta
isced2011_c20,sharew8_rel9-0-0_gv_isced.dta
panel_status,sharew8_rel9-0-0_gv_networks.dta
panel_change_size,sharew8_rel9-0-0_gv_networks.dta
panel_lost,sharew8_rel9-0-0_gv_networks.dta
panel_new,sharew8_rel9-0-0_gv_networks.dta
w6_panel_continued,sharew8_rel9-0-0_gv_networks.dta
w4_panel_continued,sharew8_rel9-0-0_gv_networks.dta
panel_changePattern_size,sharew8_rel9-0-0_gv_networks.dta
panel_changePattern_childnet,sharew8_rel9-0-0_gv_networks.dta
panel_changePattern_friendnet,sharew8_rel9-0-0_gv_networks.dta
sn_size_w4,sharew8_rel9-0-0_gv_networks.dta
sn_size_w6,sharew8_rel9-0-0_gv_networks.dta
sn_size_w8,sharew8_rel9-0-0_gv_networks.dta
