column,file_name,is_valid
sn_childid_7,sharew6_rel9-0-0_sn.dta,True
exrate,sharew6_rel9-0-0_ep.dta,True
ep002_,sharew6_rel9-0-0_ep.dta,True
ep005_,sharew6_rel9-0-0_ep.dta,True
ep006_,sharew6_rel9-0-0_ep.dta,True
ep007_,sharew6_rel9-0-0_ep.dta,True
ep009_,sharew6_rel9-0-0_ep.dta,True
ep010_,sharew6_rel9-0-0_ep.dta,True
ep011_,sharew6_rel9-0-0_ep.dta,True
ep013_,sharew6_rel9-0-0_ep.dta,True
ep018_,sharew6_rel9-0-0_ep.dta,True
ep024_,sharew6_rel9-0-0_ep.dta,True
ep026_,sharew6_rel9-0-0_ep.dta,True
ep027_,sharew6_rel9-0-0_ep.dta,True
ep028_,sharew6_rel9-0-0_ep.dta,True
ep029_,sharew6_rel9-0-0_ep.dta,True
ep030_,sharew6_rel9-0-0_ep.dta,True
ep031_,sharew6_rel9-0-0_ep.dta,True
ep032_,sharew6_rel9-0-0_ep.dta,True
ep033_,sharew6_rel9-0-0_ep.dta,True
ep034_,sharew6_rel9-0-0_ep.dta,True
ep035_,sharew6_rel9-0-0_ep.dta,True
ep036_,sharew6_rel9-0-0_ep.dta,True
ep037_,sharew6_rel9-0-0_ep.dta,True
ep050_,sharew6_rel9-0-0_ep.dta,True
ep051_,sharew6_rel9-0-0_ep.dta,True
ep054_,sharew6_rel9-0-0_ep.dta,True
ep061_,sharew6_rel9-0-0_ep.dta,True
ep064d1,sharew6_rel9-0-0_ep.dta,True
ep064d2,sharew6_rel9-0-0_ep.dta,True
ep064d3,sharew6_rel9-0-0_ep.dta,True
ep064d4,sharew6_rel9-0-0_ep.dta,True
ep064d5,sharew6_rel9-0-0_ep.dta,True
ep064d6,sharew6_rel9-0-0_ep.dta,True
ep064d7,sharew6_rel9-0-0_ep.dta,True
ep064d8,sharew6_rel9-0-0_ep.dta,True
ep064d9,sharew6_rel9-0-0_ep.dta,True
ep064d10,sharew6_rel9-0-0_ep.dta,True
ep067_,sharew6_rel9-0-0_ep.dta,True
ep069d1,sharew6_rel9-0-0_ep.dta,True
ep069d2,sharew6_rel9-0-0_ep.dta,True
ep069d3,sharew6_rel9-0-0_ep.dta,True
ep069d4,sharew6_rel9-0-0_ep.dta,True
ep069d5,sharew6_rel9-0-0_ep.dta,True
ep069d6,sharew6_rel9-0-0_ep.dta,True
ep069d7,sharew6_rel9-0-0_ep.dta,True
ep069dot,sharew6_rel9-0-0_ep.dta,True
ep074_1,sharew6_rel9-0-0_ep.dta,True
ep074_2,sharew6_rel9-0-0_ep.dta,True
ep074_3,sharew6_rel9-0-0_ep.dta,True
ep074_4,sharew6_rel9-0-0_ep.dta,True
ep074_5,sharew6_rel9-0-0_ep.dta,True
ep074_6,sharew6_rel9-0-0_ep.dta,True
ep074_7,sharew6_rel9-0-0_ep.dta,True
ep074_8,sharew6_rel9-0-0_ep.dta,True
ep074_9,sharew6_rel9-0-0_ep.dta,True
ep074_10,sharew6_rel9-0-0_ep.dta,True
